Count,Label,CBG,GEOID
0.60,Arms Length Sales/All Sales (1-Fams),14.003,4.21E+11
0.69,Arms Length Sales/All Sales (1-Fams),14.004,4.21E+11
0.56,Arms Length Sales/All Sales (1-Fams),118.052,4.21E+11
0.55,Arms Length Sales/All Sales (1-Fams),147.001,4.21E+11
0.39,Arms Length Sales/All Sales (1-Fams),147.002,4.21E+11
0.41,Arms Length Sales/All Sales (1-Fams),147.003,4.21E+11
28,Count of Single Family Properties,1.001,4.21E+11
18,Count of Single Family Properties,1.002,4.21E+11
108,Count of Single Family Properties,1.003,4.21E+11
498,Count of Single Family Properties,2.001,4.21E+11
323,Count of Single Family Properties,2.002,4.21E+11
344,Count of Single Family Properties,3.001,4.21E+11
374,Count of Single Family Properties,3.002,4.21E+11
331,Count of Single Family Properties,3.003,4.21E+11
319,Count of Single Family Properties,3.004,4.21E+11
273,Count of Single Family Properties,4.001,4.21E+11
136,Count of Single Family Properties,4.002,4.21E+11
112,Count of Single Family Properties,4.003,4.21E+11
90,Count of Single Family Properties,4.004,4.21E+11
256,Count of Single Family Properties,5.001,4.21E+11
271,Count of Single Family Properties,5.002,4.21E+11
223,Count of Single Family Properties,5.003,4.21E+11
149,Count of Single Family Properties,5.004,4.21E+11
198,Count of Single Family Properties,6.001,4.21E+11
142,Count of Single Family Properties,6.002,4.21E+11
210,Count of Single Family Properties,6.003,4.21E+11
135,Count of Single Family Properties,6.004,4.21E+11
211,Count of Single Family Properties,7.001,4.21E+11
183,Count of Single Family Properties,7.002,4.21E+11
182,Count of Single Family Properties,7.003,4.21E+11
161,Count of Single Family Properties,8.001,4.21E+11
220,Count of Single Family Properties,8.002,4.21E+11
152,Count of Single Family Properties,8.003,4.21E+11
61,Count of Single Family Properties,8.004,4.21E+11
104,Count of Single Family Properties,9.001,4.21E+11
173,Count of Single Family Properties,9.002,4.21E+11
54,Count of Single Family Properties,9.003,4.21E+11
340,Count of Single Family Properties,9.004,4.21E+11
230,Count of Single Family Properties,10.001,4.21E+11
220,Count of Single Family Properties,10.002,4.21E+11
268,Count of Single Family Properties,10.003,4.21E+11
211,Count of Single Family Properties,10.004,4.21E+11
295,Count of Single Family Properties,11.001,4.21E+11
